Respondent_ID,City_ID,Column2
120031,CT117,Ahmedabad
120032,CT118,Pune
120033,CT116,Hyderabad
120034,CT113,Bangalore
120035,CT120,Lucknow
120036,CT118,Pune
120037,CT112,Mumbai
120038,CT116,Hyderabad
120039,CT116,Hyderabad
120040,CT116,Hyderabad
120041,CT113,Bangalore
120042,CT112,Mumbai
120043,CT113,Bangalore
120044,CT112,Mumbai
120045,CT113,Bangalore
120046,CT114,Chennai
120047,CT112,Mumbai
120048,CT116,Hyderabad
120049,CT113,Bangalore
120050,CT114,Chennai
120051,CT118,Pune
120052,CT112,Mumbai
120053,CT112,Mumbai
120054,CT114,Chennai
120055,CT117,Ahmedabad
120056,CT118,Pune
120057,CT117,Ahmedabad
120058,CT119,Jaipur
120059,CT113,Bangalore
120060,CT118,Pune
120061,CT116,Hyderabad
120062,CT116,Hyderabad
120063,CT114,Chennai
120064,CT118,Pune
120065,CT115,Kolkata
120066,CT116,Hyderabad
120067,CT118,Pune
120068,CT116,Hyderabad
120069,CT112,Mumbai
120070,CT116,Hyderabad
120071,CT113,Bangalore
120072,CT118,Pune
120073,CT116,Hyderabad
120074,CT112,Mumbai
120075,CT113,Bangalore
120076,CT113,Bangalore
120077,CT116,Hyderabad
120078,CT117,Ahmedabad
120079,CT113,Bangalore
120080,CT113,Bangalore
120081,CT120,Lucknow
120082,CT113,Bangalore
120083,CT113,Bangalore
120084,CT112,Mumbai
120085,CT112,Mumbai
120086,CT119,Jaipur
120087,CT113,Bangalore
120088,CT116,Hyderabad
120089,CT116,Hyderabad
120090,CT113,Bangalore
120091,CT116,Hyderabad
120092,CT113,Bangalore
120093,CT118,Pune
120094,CT111,Delhi
120095,CT113,Bangalore
120096,CT113,Bangalore
120097,CT112,Mumbai
120098,CT117,Ahmedabad
120099,CT118,Pune
120100,CT114,Chennai
120101,CT116,Hyderabad
120102,CT113,Bangalore
120103,CT117,Ahmedabad
120104,CT113,Bangalore
120105,CT112,Mumbai
120106,CT113,Bangalore
120107,CT116,Hyderabad
120108,CT113,Bangalore
120109,CT112,Mumbai
120110,CT112,Mumbai
120111,CT119,Jaipur
120112,CT114,Chennai
